Date,JPY_EUR,CHF_EUR
2024-12-31,0.000000,0.000000
2025-01-01,-0.174652,0.012438
2025-01-02,-0.633815,-0.298697
2025-01-03,-0.372799,-0.314576
2025-01-06,0.631890,0.064248
2025-01-07,0.409634,0.117274
2025-01-08,0.402257,0.084209
2025-01-09,0.079630,0.015684
2025-01-10,-0.722072,-0.045159
2025-01-13,-0.868551,-0.017318
2025-01-14,0.057720,0.098226
2025-01-15,-1.073347,-0.032132
2025-01-16,-1.823640,-0.137181
2025-01-17,-1.353694,0.044480
2025-01-20,-0.413928,0.520499
2025-01-21,-0.336122,0.573063
2025-01-22,0.109130,0.475820
2025-01-23,-0.125931,0.609205
2025-01-24,0.589734,1.195045
2025-01-27,-0.393207,0.751331
2025-01-28,-0.331344,0.378028
2025-01-29,-0.614206,0.597205
2025-01-30,-1.487684,0.611772
2025-01-31,-1.170581,0.510299
2025-02-03,-1.631434,0.259955
2025-02-04,-1.574395,0.019792
2025-02-05,-2.457294,-0.135793
2025-02-06,-3.376992,0.025180
2025-02-07,-3.915678,0.018231
2025-02-10,-3.734424,-0.005384
2025-02-11,-2.918142,0.728052
2025-02-12,-1.493359,0.981938
2025-02-13,-1.753764,0.604226
2025-02-14,-1.779540,0.470508
2025-02-17,-2.404889,0.529422
2025-02-18,-2.397739,0.453418
2025-02-19,-3.001255,0.362057
2025-02-20,-3.442140,0.378617
2025-02-21,-4.057836,-0.044320
2025-02-24,-3.706522,-0.035516
2025-02-25,-3.725854,-0.060686
2025-02-26,-3.955981,-0.135454
2025-02-27,-4.283770,-0.406655
2025-02-28,-3.971287,-0.207940
2025-03-03,-3.653264,0.132346
2025-03-04,-2.192940,0.652395
2025-03-05,-1.288762,2.331197
2025-03-06,-1.953274,1.453439
2025-03-07,-1.461198,1.470389
2025-03-10,-1.965892,1.590405
2025-03-11,-0.854590,2.614112
2025-03-12,-0.822855,2.207976
2025-03-13,-1.431743,1.908291
2025-03-14,-0.632577,2.536075
2025-03-17,0.144822,2.430772
2025-03-18,0.378926,2.131402
2025-03-19,-0.398166,1.843923
2025-03-20,-0.788269,1.902514
2025-03-21,-0.778898,1.694310
2025-03-24,0.015132,1.539671
2025-03-25,-0.599973,1.392922
2025-03-26,-0.490782,1.156087
2025-03-27,0.252049,1.371892
2025-03-28,-0.313671,1.488036
2025-03-31,-0.327255,1.838732
2025-04-01,-0.772595,1.537063
2025-04-02,-0.447355,1.872903
2025-04-03,-0.808150,1.081522
2025-04-04,-1.100921,0.366790
2025-04-07,-0.942701,-0.174646
2025-04-08,-1.509299,-1.128726
2025-04-09,-0.589768,0.063254
2025-04-10,-0.604547,-1.810633
2025-04-11,0.184166,-1.406075
2025-04-14,-0.282435,-1.549869
2025-04-15,-0.695262,-1.102519
2025-04-16,-0.657332,-1.325036
2025-04-17,-0.545167,-0.814854
2025-04-18,-0.478627,-1.007080
2025-04-21,-0.332607,-0.835664
2025-04-22,-0.644530,-0.429447
2025-04-23,-0.265749,0.096175
2025-04-24,-0.186422,0.294493
2025-04-25,0.342561,0.157389
2025-04-28,-0.333213,-0.300857
2025-04-29,-0.410358,-0.146761
2025-04-30,-0.411258,-0.363262
2025-05-01,0.909747,-0.289197
2025-05-02,0.607873,-0.582969
2025-05-05,-0.092880,-0.938073
2025-05-06,-0.501410,-0.492841
2025-05-07,-0.141070,-0.908644
2025-05-08,0.667970,-0.536000
2025-05-09,0.460262,-0.442646
2025-05-12,1.138655,-0.187212
2025-05-13,1.359070,-0.043248
2025-05-14,0.766117,0.178171
2025-05-15,0.146431,-0.434816
2025-05-16,-0.109242,-0.429990
2025-05-19,0.074652,-0.099463
2025-05-20,0.183586,-0.505204
2025-05-21,0.031929,-0.431741
2025-05-22,-0.181701,-0.437185
2025-05-23,-0.446521,-0.629013
2025-05-26,-0.045630,-0.458218
2025-05-27,0.466731,-0.244293
2025-05-28,0.497888,-0.525219
2025-05-29,0.760718,-0.374113
2025-05-30,0.446966,-0.632690
2025-06-02,0.333428,-0.473426
2025-06-03,0.620041,-0.269544
2025-06-04,0.153667,-0.534606
2025-06-05,0.943405,-0.118372
2025-06-06,1.430105,-0.330314
2025-06-09,1.475576,-0.078581
2025-06-10,1.686613,0.053713
2025-06-11,2.027608,0.307560
2025-06-12,2.142596,-0.074351
2025-06-13,2.281944,-0.231696
2025-06-16,2.820714,0.207285
2025-06-17,2.476851,-0.217979
2025-06-18,2.368445,0.079695
2025-06-19,2.740475,-0.061361
2025-06-20,3.432293,0.281989
2025-06-23,3.972242,0.162914
2025-06-24,3.382229,-0.437711
2025-06-25,4.063889,-0.108210
2025-06-26,3.807961,-0.317450
2025-06-27,4.175398,-0.307275
2025-06-30,4.314674,-0.490223
2025-07-01,4.055618,-0.576967
2025-07-02,4.162720,-0.525016
2025-07-03,4.692100,-0.480661
2025-07-04,4.623837,-0.432369
2025-07-07,5.065961,-0.461185
2025-07-08,5.596748,-0.622476
2025-07-09,5.368082,-0.895676
2025-07-10,5.148740,-0.716031
2025-07-11,5.883984,-0.873573
2025-07-14,5.868025,-0.928377
2025-07-15,6.118545,-0.998420
2025-07-16,5.714663,-0.856899
2025-07-17,5.887559,-0.683102
2025-07-18,6.315083,-0.809826
2025-07-21,5.912242,-0.646405
2025-07-22,5.908471,-0.839677
2025-07-23,5.972116,-0.698314
2025-07-24,6.180214,-0.447536
2025-07-25,6.538956,-0.645131
2025-07-28,5.777355,-0.860256
2025-07-29,5.321029,-0.939263
2025-07-30,4.771734,-1.076244
2025-07-31,5.740351,-1.281164
2025-08-01,4.908985,-0.840865
2025-08-04,4.571506,-0.441463
2025-08-05,4.985573,-0.452034
2025-08-06,5.571905,0.115206
2025-08-07,5.454209,0.172935
2025-08-08,5.652813,0.139832
2025-08-11,5.730185,0.473124
2025-08-12,6.035780,0.229205
2025-08-13,6.007328,0.340021
2025-08-14,5.754054,0.134258
2025-08-15,5.798317,0.427110
2025-08-18,5.954479,0.246015
2025-08-19,5.676031,0.146159
2025-08-20,5.474412,-0.269775
2025-08-21,5.807726,-0.072365
2025-08-22,5.785659,-0.025229
2025-08-25,5.504066,-0.311054
2025-08-26,5.451120,-0.435489
2025-08-27,5.413939,-0.597867
2025-08-28,5.467913,-0.315345
2025-08-29,5.582083,-0.409882
2025-09-01,5.901500,-0.153194
2025-09-02,6.089084,-0.318644
2025-09-03,6.116657,-0.196595
2025-09-04,6.283036,-0.088473
2025-09-05,6.139455,-0.428059
2025-09-08,6.633760,-0.659350
2025-09-09,6.047021,-0.590072
2025-09-10,5.965201,-0.501255
2025-09-11,6.126593,-0.592146
2025-09-12,6.466369,-0.487979
2025-09-15,6.523464,-0.496882
2025-09-16,6.820874,-0.707588
2025-09-17,6.685082,-0.809375
2025-09-18,7.190798,-0.561291
2025-09-19,6.783608,-0.527991
2025-09-22,7.124151,-0.434752
2025-09-23,7.187695,-0.476021
2025-09-24,7.397944,-0.631010
2025-09-25,7.377178,-0.694050
2025-09-26,7.495404,-0.616102
2025-09-29,7.064795,-0.426751
2025-09-30,6.638464,-0.523446
2025-10-01,5.994035,-0.484441
2025-10-02,6.004304,-0.478493
2025-10-03,6.388370,-0.578398
2025-10-06,8.180468,-0.884734
2025-10-07,8.801016,-0.942440
2025-10-08,9.082933,-0.735138
2025-10-09,8.765466,-0.737451
2025-10-10,7.934476,-1.145525
2025-10-13,8.250907,-0.959333
2025-10-14,8.286884,-1.025617
2025-10-15,8.100458,-1.215356
2025-10-16,8.026465,-1.342677
2025-10-17,7.840481,-1.634159
2025-10-20,7.830184,-1.780546
2025-10-21,8.285719,-1.665672
2025-10-22,8.427644,-1.621859
2025-10-23,8.930681,-1.653020
2025-10-24,9.201013,-1.521465
2025-10-27,9.383055,-1.391516
2025-10-28,8.896442,-1.584545
2025-10-29,8.866400,-1.202191
2025-10-30,9.524578,-1.264437
2025-10-31,9.155426,-1.207410
2025-11-03,9.157400,-0.904801
2025-11-04,8.421088,-0.940122
